0001,King County Department of Transportation - Metro Transit Division,King County Metro,Seattle,WA,us,http://transit.metrokc.gov/,"201 South Jackson Street-M.S. KSC-TR-0333, Seattle, WA, 98104-3856",1884200,618659288
0002,Spokane Transit Authority,STA,Spokane,WA,us,http://spokanetransit.com,"1230 West Boone Avenue, Spokane, WA, 99201",334857,51975628
0003,Pierce County Transportation Benefit Area Authority,Pierce Transit,Tacoma,WA,us,http://www.piercetransit.org,"3701 96th Street, S.W., Tacoma, WA, 98499-70",749350,85137262
0005,Everett Transit,ET,Everett,WA,us,http://www.everettwa.org/transit/,"3225 Cedar Street, Everett, WA, 98201",102300,10292166
0006,Yakima Transit,YT,Yakima,WA,us,http://www.yakimatransit.org,"2301 Fruitvale Boulevard, Yakima, WA, 98902-1298",88267,9089156
0007,Lane Transit District,LTD,Eugene,OR,us,http://www.ltd.org,"3500 East 17th Avenue, Eugene, OR, 97403",272272,43060969
0008,Tri-County Metropolitan Transportation District of Oregon,TriMet,Portland,OR,us,http://www.trimet.org,"4012 Southeast 17th Avenue, Portland, OR, 97202-3940",1466540,426684010
0011,Valley Regional Transit,VRT,Meridian,ID,us,http://www.valleyregionaltransit.org,"830 North Main Street-Suite 230, Meridian, ID, 83642",272625,6230812
0012,Municipality of Anchorage - Public Transportation Department,People Mover,Anchorage,AK,us,http://www.peoplemover.org,"3650 A East Tudor Road, Building A, Anchorage, AK, 99519-6650",218145,20025446
0016,Community Urban Bus Service,CUBS,Longview,WA,us,http://www.cubs-bus.com,"254 Oregon Way, Longview, WA, 98632",46210,1673714
0018,Ben Franklin Transit,BFT,Richland,WA,us,http://www.bft.org,"1000 Columbia Park Trail, Richland, WA, 99352",150000,70207670
0019,Intercity Transit,I.T.,Olympia,WA,us,http://www.intercitytransit.com,"526 Southeast Pattison Street, Olympia, WA, 98507-659",151700,44418983
0020,Kitsap Transit,,Bremerton,WA,us,http://kitsaptransit.org,"60 Washington Ave. Suite 200, Bremerton, WA, 98337",237000,31917668
0021,Whatcom Transportation Authority,WTA,Bellingham,WA,us,http://www.ridewta.com,"4111 Bakerview Spur, Bellingham, WA, 98226-8056",188015,15564629
0022,City of Pocatello - Pocatello Regional Transit,PRT,Pocatello,ID,us,http://www.pocatellotransit.com,"911 North Seventh, Pocatello, ID, 83205-4169",61166,2666297
0023,City of Seattle - Seattle Center Monorail Transit,SMS,Seattle,WA,us,http://www.seattlemonorail.com,"305 Harrison Street, Seattle, WA, 98109-4695",495500,1403740
0024,Clark County Public Transportation Benefit Area Authority,C-Tran,Vancouver,WA,us,http://www.c-tran.com,", Vancouver, WA, 98668-2529",355302,38293650
0025,Salem Area Mass Transit District,Cherriots,Salem,OR,us,http://cherriots.org,"555 Court Street, N.E.-Suite 5230, Salem, OR, 97301-3736",206500,19933226
0028,Pierce County Ferry Operations,Pierce County Ferry,University Place,WA,us,http://www.co.pierce.wa.us,"9850 - 64th Street West, University Place, WA, 98467",800000,1683026
