name,url,location,contact,email,phone,address,dataexchange_id
Alaska Railroad Corporation (ARRC),http://www.akrr.com/,"Anchorage, AK",Mr. Patrick Gamble (President and CEO),gamblep@akrr.com,(907)265-2414,"
327 West Ship Creek Avenue
Anchorage, AK 99510"
Municipality of Anchorage - Public Transportation Department (People Mover),http://www.peoplemover.org/,"Anchorage, AK",Ms. Jody Karcz (Public Transportation Director),KarczJM@ci.anchorage.ak.us,(907)343-8402,"
3650 A East Tudor Road, Building A
Anchorage, AK 99519"
"VPSI, Anchorage",http://www.vpsiinc.com/,"Anchorage, AK",Mr Jeffery Hanning (President and CEO),jeff.henning@vpsiinc.com,(248)597-3500,"
310 K Street Suite 200
Anchorage, AK 99501"
Fairbanks North Star Borough Transit (MACS),http://www.co.fairbanks.ak.us/,"Fairbanks, AK",Mr. Glenn Miller (Director),gmiller@co.fairbanks.ak.us,(907)459-1007,"
3175 Peger Road
Fairbanks, AK 99709"
Targhee Regional Public Transit Authority (TRPTA),http://www.trpta.com/,"Idaho Falls, ID",Ms. Lynn Seymour (Executive Director),lynntrpta@yahoo.com,(208)535-0356,"
1810 W. Broadway #7
Idaho Falls, ID 83402"
Valley Regional Transit (VRT),http://www.valleyregionaltransit.org/,"Meridian, ID",Ms. Kelli Fairless (Executive Director),kfairless7@msn.com,(208)846-8547 Ext:4212,"
830 North Main Street Suite 230
Meridian, ID 83642"
City of Pocatello - Pocatello Regional Transit (PRT),http://www.pocatellotransit.com/,"Pocatello, ID",Mr. Ronald Binggeli (Director of Public Transit),rbinggeli@pocatello.us,(208)234-6248,"
911 North Seventh
Pocatello, ID 83205"
"City of Bend, Bend Area Transit (BAT)",http://www.ci.bend.or.us/bend_area_transit/index.html,"Bend, OR",Ms. Heather Ornelas (Transit Division Manager),hornelas@ci.bend.or.us,(541)317-3023,"
1250 NE Bear Creek Rd
Bend, OR 97701"
Lane Transit District (LTD),http://www.ltd.org/,"Eugene, OR",Mr. Mark Pangborn (General Manager),mark.pangborn@ltd.org,(541)682-6100,"
3500 East 17th Avenue
Eugene, OR 97403"
Rogue Valley Transportation District (RVTD),http://www.rvtd.org/,"Medford, OR",Ms. Julie Brown (General Manager),j.brown@rvtd.org,(541)779-5821,"
3200 Crater Lake Avenue
Medford, OR 97504"
Salem Area Mass Transit District (Cherriots),http://cherriots.org/,"Salem, OR",Mr. Allan Pollock (General Manager),pollocka@cherriots.org,(503)588-2424 Ext:2550,"
555 Court Street, N.E. Suite 5230
Salem, OR 97301"
South Metro Area Regional Transit (SMART),http://www.ridesmart.com/,"Wilsonville, OR",Ms. Cynthia Thompson (Transit Director),cynthia@bcbconsulting.net,(503)570-1576,"
29799 SW Town Center Loop E
Wilsonville, OR 97070"
Whatcom Transportation Authority (WTA),http://www.ridewta.com/,"Bellingham, WA",Mr. Richard Walsh (General Manager),richardw@ridewta.com,(360)738-4581,"
4111 Bakerview Spur
Bellingham, WA 98226"
Kitsap Transit,http://kitsaptransit.org/,"Bremerton, WA",Mr. Richard Hayes (Executive Director),KTExecutive@KitsapTransit.com,(360)478-6230,"
60 Washington Ave. Suite 200
Bremerton, WA 98337"
Skagit Transit,http://www.skagittransit.org/,"Burlington, WA",Mr. Dale O'Brien (Executive Director),dobrien@skagittransit.org,(360)757-8801 Ext:204,"
600 County Shop Lane
Burlington, WA 98233"
Everett Transit (ET),http://www.everettwa.org/transit/,"Everett, WA",Mr. Thomas Hingson (Transportation Services Director),thingson@ci.everett.wa.us,(425)257-8939,"
3225 Cedar Street
Everett, WA 98201"
Snohomish County Public Transportation Benefit Area Corporation (Community Transit),http://www.commtrans.org/,"Everett, WA",Ms. Joyce Eleanor (Chief Executive Officer),joyce.Eleanor@commtrans.org,(425)348-7100,"
7100 Hardeson Road
Everett, WA 98203"
Community Urban Bus Service (CUBS),http://www.cubs-bus.com/,"Longview, WA",Mr. Robert Gregory (City Manager),bob.gregory@ci.longview.wa.us,(360)442-5001,"
254 Oregon Way
Longview, WA 98632"
Intercity Transit (I.T.),http://www.intercitytransit.com/,"Olympia, WA",Mr. Michael Harbour (General Manager),mharbour@intercitytransit.com,(360)786-8585 Ext:5855,"
526 Southeast Pattison Street
Olympia, WA 98507"
Ben Franklin Transit (BFT),http://www.bft.org/,"Richland, WA",Mr. Tim Fredrickson (General Manager),timjfred@bft.org,(509)734-5118,"
1000 Columbia Park Trail
Richland, WA 99352"
Central Puget Sound Regional Transit Authority (ST),http://www.soundtransit.org/,"Seattle, WA",Ms. Joni Earl (Executive Director),earlj@soundtransit.org,(206)398-5450,"
401 South Jackson Street
Seattle, WA 98104"
City of Seattle - Seattle Center Monorail Transit (SMS),http://www.seattlemonorail.com/,"Seattle, WA","Mr. Robert Nellams (Director, Seattle Center)",robert.nellams@seattle.gov,(206)684-7330,"
305 Harrison Street
Seattle, WA 98109"
King County Department of Transportation - Metro Transit Division (King County Metro),http://transit.metrokc.gov/,"Seattle, WA","Mr. Kevin Desmond (General Manager, Metro Transit Division)",kevin.desmond@kingcounty.gov,(206)684-1619,"
201 South Jackson Street M.S. KSC-TR-0333
Seattle, WA 98104"
Washington State Ferries (WSF),http://www.wsdot.wa.gov/ferries/index.cfm,"Seattle, WA","Mr. David Moseley (Assistant Secretary, Ferry Division)",MoseleD@wsdot.wa.gov,(206)515-3401,"
2901 Third Avenue
Seattle, WA 98121"
Spokane Transit Authority (STA),http://spokanetransit.com/,"Spokane, WA",Ms. E. Susan Meyer (Chief Executive Officer),SMeyer@spokanetransit.com,(509)325-6000,"
1230 West Boone Avenue
Spokane, WA 99201"
Pierce County Transportation Benefit Area Authority (Pierce Transit),http://www.piercetransit.org/,"Tacoma, WA",Ms. Lynne Griffith (Chief Executive Officer),lgriffith@piercetransit.org,(253)581-8010,"
3701 96th Street, S.W.
Tacoma, WA 98499"
Pierce County Ferry Operations (Pierce County Ferry),http://www.co.pierce.wa.us/,"University Place, WA",Mr. Brian Ziegler (Director of Public Works and Utilities),BZIEGLE@co.pierce.wa.us,(253)798-7250,"
9850 - 64th Street West
University Place, WA 98467"
Clark County Public Transportation Benefit Area Authority (C-Tran),http://www.c-tran.com/,"Vancouver, WA",Mr. Jeff Hamm (Executive Director/CEO),JeffH@C-TRAN.org,(360)696-4494 Ext:7303,"
Vancouver, WA 98668"
Link Transit,http://www.linktransit.com/,"Wenatchee, WA",Mr. Richard DeRock (General Manager),richard@linktransit.com,(509)664-7610,"
2700 Euclid Avenue
Wenatchee, WA 98801"
Yakima Transit (YT),http://www.yakimatransit.org/,"Yakima, WA","Mr. Richard Zais, Jr. (City Manager)",dzais@ci.yakima.wa.us,(509)575-6040,"
2301 Fruitvale Boulevard
Yakima, WA 98902"
"New Britain Transportation Company, Inc.",http://www.nbtrans.com/,"Berlin, CT",Mr. Peter Agostini (President),peter@nbt.bz,(860)828-0511 Ext:12,"
257 Woodlawn Road
Berlin, CT 06037"
Greater Bridgeport Transit Authority (GBTA),http://www.gbtabus.com/,"Bridgeport, CT",Mr. Ronald Kilcoyne (Chief Executive Officer),rkilcoyne@gogbt.com,(203)366-7070 Ext:106,"
One Cross Street
Bridgeport, CT 06610"
Housatonic Area Regional Transit (HART),http://www.hartct.org/,"Danbury, CT",Mr. Eric Bergstraesser (Executive Director),ericb@hartct.org,(203)744-4070 Ext:132,"
62 Federal Road
Danbury, CT 06810"
Valley Transit District (VTD),http://www.valleytransit.org/,"Derby, CT",Mr. Ed Pigman (Executive Director),mpandolfi@valleytransit.org,(203)735-6824,"
41 Main Street
Derby, CT 06418"
